State,LGA,LGA_Name,Medication_Type,FY24,FY23,FY22,FY21, ERP , FY24 All , FY23 All , FY22 All , FY21 All , FY24 change ,FY23 Change,FY22 Change, SA2_Code ,SA2_Name,SA3_Code,SA3_Name,SA4_name,GCCSA_NAME_2021
NSW,14550,Kyogle,Respiratory system,0.75,0.83,0.83,0.82,"9,453","7,090","7,846","7,846","7,751",756,0,95,11202124501,Casino Surrounds,11202,Richmond Valley - Hinterland,Richmond - Tweed,Rest of NSW
WA,55460,Merredin,Alimentary tract and metabolism,2.19,2.22,2.15,2.2,"3,232","7,078","7,175","6,949","7,110",97,226,162,50902124003,Merredin,50902,Wheat Belt - North,Western Australia - Wheat Belt,Rest of WA
TAS,65410,Waratah-Wynyard,Genito urinary system and sex hormones,0.48,0.48,0.46,0.46,"14,689","7,051","7,051","6,757","6,757",0,294,0,60401108101,Somerset,60401,Burnie - Ulverstone,West and North West,Rest of Tas.
WA,51890,Collie,Musculo-skeletal system,0.77,0.73,0.7,0.73,"9,150","7,046","6,680","6,405","6,680",366,275,275,50102100901,Collie,50102,Bunbury,Bunbury,Rest of WA
NSW,10950,Bogan,Nervous system,2.87,3.04,2.85,2.95,"2,454","7,043","7,460","6,994","7,239",417,466,245,10501109501,Nyngan - Warren,10501,Bourke - Cobar - Coonamble,Far West and Orana,Rest of NSW
SA,48260,Walkerville,Antiinfectives for systemic use,0.86,0.93,0.75,0.73,"8,182","7,037","7,609","6,137","5,973",573,"1,473",164,40106102201,Walkerville,40106,Prospect - Walkerville,Adelaide - Central and Hills,Greater Adelaide
NSW,11200,Brewarrina,Alimentary tract and metabolism,4.9,4.32,4.25,3.73,"1,431","7,012","6,182","6,082","5,338",830,100,744,10501109207,Bourke - Brewarrina,10501,Bourke - Cobar - Coonamble,Far West and Orana,Rest of NSW
TAS,61010,Central Highlands (T,Alimentary tract and metabolism,2.71,2.57,2.45,2.43,"2,586","7,008","6,646","6,336","6,284",362,310,52,60301106501,Central Highlands,60301,Central Highlands (Tas.),South East,Rest of Tas.
NSW,15700,Nambucca Valley,"Systemic hormonal preparations, excl. sex hormones and insulins",0.34,0.34,0.34,0.35,"20,610","7,007","7,007","7,007","7,214",0,0,206,10802115701,Macksville - Scotts Head,10802,Kempsey - Nambucca,Mid North Coast,Rest of NSW
NSW,14550,Kyogle,Blood and blood forming organs,0.74,0.75,0.76,0.72,"9,453","6,995","7,090","7,184","6,806",95,95,378,11202124501,Casino Surrounds,11202,Richmond Valley - Hinterland,Richmond - Tweed,Rest of NSW
SA,45040,Murray Bridge,Antineoplastic and immunomodulating agents,0.31,0.3,0.29,0.25,"22,538","6,987","6,761","6,536","5,635",225,225,902,40703116502,Murray Bridge,40703,Murray and Mallee,South Australia - South East,Rest of SA
SA,44550,Mount Barker,Dermatologicals,0.17,0.18,0.15,0.16,"41,089","6,985","7,396","6,163","6,574",411,"1,233",411,40102100501,Hahndorf - Echunga,40102,Adelaide Hills,Adelaide - Central and Hills,Greater Adelaide
TAS,63810,Latrobe (Tas.),Sensory organs,0.54,0.52,0.49,0.44,"12,922","6,978","6,719","6,332","5,686",258,388,646,60402108701,Latrobe,60402,Devonport,West and North West,Rest of Tas.
TAS,64810,Sorell,Genito urinary system and sex hormones,0.4,0.4,0.37,0.37,"17,430","6,972","6,972","6,449","6,449",0,523,0,60106103401,Dodges Ferry - Lewisham,60106,Sorell - Dodges Ferry,Hobart,Greater Hobart
NSW,15270,Mid-Western,Antineoplastic and immunomodulating agents,0.27,0.26,0.24,0.24,"25,795","6,965","6,707","6,191","6,191",258,516,0,10303107201,Mudgee,10303,Lithgow - Mudgee,Central West,Rest of NSW
QLD,30410,Barcaldine,Nervous system,2.43,2.24,2.18,2.26,"2,865","6,962","6,418","6,246","6,475",544,172,229,31503140802,Barcaldine - Blackall,31503,Outback - South,Queensland - Outback,Rest of Qld
TAS,60610,Burnie,"Systemic hormonal preparations, excl. sex hormones and insulins",0.34,0.36,0.34,0.35,"20,472","6,960","7,370","6,960","7,165",409,409,205,60401107501,Acton - Upper Burnie,60401,Burnie - Ulverstone,West and North West,Rest of Tas.
QLD,32310,Charters Towers,Respiratory system,0.58,0.62,0.59,0.6,"11,981","6,949","7,428","7,069","7,189",479,359,120,31801146201,Charters Towers,31801,Charters Towers - Ayr - Ingham,Townsville,Rest of Qld
NSW,17400,Tenterfield,Antiinfectives for systemic use,1.01,1.07,0.93,0.99,"6,879","6,948","7,361","6,397","6,810",413,963,413,11002119401,Tenterfield,11002,Inverell - Tenterfield,New England and North West,Rest of NSW
QLD,36580,Somerset,Antineoplastic and immunomodulating agents,0.27,0.25,0.24,0.24,"25,713","6,943","6,428","6,171","6,171",514,257,0,31002127801,Esk,31002,Ipswich Hinterland,Ipswich,Greater Brisbane
VIC,21010,Benalla,Genito urinary system and sex hormones,0.48,0.47,0.48,0.44,"14,457","6,939","6,795","6,939","6,361",145,145,578,20402106301,Benalla,20402,Wangaratta - Benalla,Hume,Rest of Vic.
QLD,32330,Cherbourg,Cardiovascular system,5.65,5.68,5.68,5.48,"1,228","6,938","6,975","6,975","6,729",37,0,246,31902150613,Kingaroy Surrounds - North,31902,Burnett,Wide Bay,Rest of Qld
NSW,11350,Byron,Antineoplastic and immunomodulating agents,0.19,0.2,0.18,0.18,"36,510","6,937","7,302","6,572","6,572",365,730,0,11201123801,Bangalow,11201,Richmond Valley - Coastal,Richmond - Tweed,Rest of NSW
TAS,64610,Northern Midlands,Sensory organs,0.49,0.46,0.47,0.46,"14,138","6,928","6,503","6,645","6,503",424,141,141,60203106001,Longford,60203,North East,Launceston and North East,Rest of Tas.
TAS,63010,Huon Valley,Sensory organs,0.36,0.35,0.34,0.32,"19,214","6,917","6,725","6,533","6,148",192,192,384,60302106908,Bruny Island - Kettering,60302,Huon - Bruny Island,South East,Rest of Tas.
VIC,25430,Mount Alexander,"Systemic hormonal preparations, excl. sex hormones and insulins",0.34,0.33,0.3,0.31,"20,317","6,908","6,705","6,095","6,298",203,610,203,20202102701,Castlemaine,20202,Heathcote - Castlemaine - Kyneton,Bendigo,Rest of Vic.
TAS,65410,Waratah-Wynyard,Sensory organs,0.47,0.45,0.47,0.43,"14,689","6,904","6,610","6,904","6,316",294,294,588,60401108101,Somerset,60401,Burnie - Ulverstone,West and North West,Rest of Tas.
NSW,14550,Kyogle,Antiinfectives for systemic use,0.73,0.71,0.64,0.66,"9,453","6,901","6,712","6,050","6,239",189,662,189,11202124501,Casino Surrounds,11202,Richmond Valley - Hinterland,Richmond - Tweed,Rest of NSW
WA,50080,Albany,Dermatologicals,0.17,0.18,0.17,0.18,"40,416","6,871","7,275","6,871","7,275",404,404,404,50901122501,Albany,50901,Albany,Western Australia - Wheat Belt,Rest of WA
NSW,10800,Bland,Antiinfectives for systemic use,1.25,1.31,1.12,1.18,"5,494","6,868","7,197","6,153","6,483",330,"1,044",330,10302106901,West Wyalong,10302,Lachlan Valley,Central West,Rest of NSW
SA,45090,Naracoorte Lucindale,Antiinfectives for systemic use,0.77,0.76,0.61,0.67,"8,917","6,866","6,777","5,439","5,974",89,"1,338",535,40702115401,Naracoorte,40702,Limestone Coast,South Australia - South East,Rest of SA
WA,51260,Busselton,Dermatologicals,0.16,0.16,0.18,0.16,"42,911","6,866","6,866","7,724","6,866",0,858,858,50101100301,Busselton Surrounds,50101,Augusta - Margaret River - Busselton,Bunbury,Rest of WA
QLD,32270,Central Highlands (Q,Genito urinary system and sex hormones,0.24,0.24,0.24,0.24,"28,530","6,847","6,847","6,847","6,847",0,0,0,30801119001,Central Highlands - East,30801,Central Highlands (Qld),Central Queensland,Rest of Qld
WA,51400,Capel,Genito urinary system and sex hormones,0.36,0.36,0.36,0.36,"19,002","6,841","6,841","6,841","6,841",0,0,0,50102100701,Capel,50102,Bunbury,Bunbury,Rest of WA
WA,54550,Kojonup,Nervous system,3.46,3.55,3.35,3.44,"1,974","6,830","7,008","6,613","6,791",178,395,178,50901123109,Kojonup,50901,Albany,Western Australia - Wheat Belt,Rest of WA
SA,43360,Kingston (SA),Nervous system,2.87,2.72,2.75,2.65,"2,377","6,822","6,465","6,537","6,299",357,71,238,40702115101,Kingston - Robe,40702,Limestone Coast,South Australia - South East,Rest of SA
QLD,30760,Blackall Tambo,Nervous system,3.52,3.27,3.36,3.54,"1,934","6,808","6,324","6,498","6,846",484,174,348,31503140801,Barcaldine - Blackall,31503,Outback - South,Queensland - Outback,Rest of Qld
NSW,15700,Nambucca Valley,Antineoplastic and immunomodulating agents,0.33,0.32,0.27,0.25,"20,610","6,801","6,595","5,565","5,153",206,"1,031",412,10802115701,Macksville - Scotts Head,10802,Kempsey - Nambucca,Mid North Coast,Rest of NSW
VIC,26610,Swan Hill,"Systemic hormonal preparations, excl. sex hormones and insulins",0.32,0.32,0.31,0.31,"21,225","6,792","6,792","6,580","6,580",0,212,0,21503140301,Robinvale,21503,Murray River - Swan Hill,North West,Rest of Vic.
TAS,64610,Northern Midlands,Genito urinary system and sex hormones,0.48,0.48,0.48,0.48,"14,138","6,786","6,786","6,786","6,786",0,0,0,60203106001,Longford,60203,North East,Launceston and North East,Rest of Tas.
NSW,17000,Singleton,Sensory organs,0.27,0.28,0.28,0.31,"25,093","6,775","7,026","7,026","7,779",251,0,753,10601110704,Branxton - Greta - Pokolbin,10601,Lower Hunter,Hunter Valley exc Newcastle,Rest of NSW
WA,55600,Moora,Alimentary tract and metabolism,2.85,2.56,2.35,2.2,"2,376","6,772","6,083","5,584","5,227",689,499,356,50902124104,Moora,50902,Wheat Belt - North,Western Australia - Wheat Belt,Rest of WA
SA,48130,Wakefield,Respiratory system,0.97,0.98,0.9,0.91,"6,971","6,762","6,832","6,274","6,344",70,558,70,40502111901,Wakefield - Barunga West,40502,Lower North,Barossa - Yorke - Mid North,Rest of SA
NSW,13450,Griffith,Genito urinary system and sex hormones,0.25,0.28,0.27,0.28,"27,014","6,754","7,564","7,294","7,564",810,270,270,11301125601,Griffith (NSW),11301,Griffith - Murrumbidgee (West),Riverina,Rest of NSW
SA,40310,Barossa,"Systemic hormonal preparations, excl. sex hormones and insulins",0.26,0.31,0.25,0.24,"25,869","6,726","8,019","6,467","6,209","1,293","1,552",259,40201102617,Gawler - South,40201,Gawler - Two Wells,Adelaide - North,Greater Adelaide
WA,56450,Narrogin,Cardiovascular system,5.31,5.27,5.04,4.75,"4,956","26,316","26,118","24,978","23,541",198,"1,140","1,437",50903124903,Narrogin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
SA,47290,Southern Mallee,Nervous system,3.33,2.96,2.8,2.99,"2,011","6,697","5,953","5,631","6,013",744,322,382,40703116101,Karoonda - Lameroo,40703,Murray and Mallee,South Australia - South East,Rest of SA
SA,44210,Mid Murray,Blood and blood forming organs,0.71,0.7,0.69,0.7,"9,416","6,685","6,591","6,497","6,591",94,94,94,40703116403,Mannum,40703,Murray and Mallee,South Australia - South East,Rest of SA
WA,56730,Northam,Respiratory system,0.56,0.59,0.57,0.59,"11,934","6,683","7,041","6,802","7,041",358,239,239,50902124301,Northam,50902,Wheat Belt - North,Western Australia - Wheat Belt,Rest of WA
VIC,23940,Loddon,Respiratory system,0.86,0.89,0.85,0.84,"7,748","6,663","6,896","6,586","6,508",232,310,77,20202102803,Castlemaine Surrounds,20202,Heathcote - Castlemaine - Kyneton,Bendigo,Rest of Vic.
SA,41140,Clare and Gilbert Va,Blood and blood forming organs,0.71,0.7,0.69,0.65,"9,383","6,662","6,568","6,474","6,099",94,94,375,40502111601,Clare,40502,Lower North,Barossa - Yorke - Mid North,Rest of SA
WA,56450,Narrogin,Nervous system,4.28,4.17,4.13,4.04,"4,956","21,212","20,667","20,468","20,022",545,198,446,50903124903,Narrogin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
SA,43360,Kingston (SA),Alimentary tract and metabolism,2.8,2.78,2.79,2.73,"2,377","6,656","6,608","6,632","6,489",48,24,143,40702115101,Kingston - Robe,40702,Limestone Coast,South Australia - South East,Rest of SA
NSW,10950,Bogan,Alimentary tract and metabolism,2.71,2.62,2.45,2.55,"2,454","6,650","6,429","6,012","6,258",221,417,245,10501109501,Nyngan - Warren,10501,Bourke - Cobar - Coonamble,Far West and Orana,Rest of NSW
NSW,14750,Leeton,Blood and blood forming organs,0.58,0.54,0.51,0.53,"11,454","6,643","6,185","5,842","6,071",458,344,229,11301125730,Griffith Surrounds,11301,Griffith - Murrumbidgee (West),Riverina,Rest of NSW
TAS,64810,Sorell,Sensory organs,0.38,0.38,0.34,0.35,"17,430","6,623","6,623","5,926","6,101",0,697,174,60106103401,Dodges Ferry - Lewisham,60106,Sorell - Dodges Ferry,Hobart,Greater Hobart
WA,50280,Augusta Margaret Riv,Blood and blood forming organs,0.37,0.36,0.37,0.37,"17,901","6,623","6,444","6,623","6,623",179,179,0,50101100101,Augusta,50101,Augusta - Margaret River - Busselton,Bunbury,Rest of WA
WA,50280,Augusta Margaret Riv,Sensory organs,0.37,0.37,0.37,0.37,"17,901","6,623","6,623","6,623","6,623",0,0,0,50101100101,Augusta,50101,Augusta - Margaret River - Busselton,Bunbury,Rest of WA
WA,54410,Kellerberrin,Nervous system,5.61,5.15,4.95,4.04,"1,180","6,620","6,077","5,841","4,767",543,236,"1,074",50902123705,Cunderdin,50902,Wheat Belt - North,Western Australia - Wheat Belt,Rest of WA
WA,52100,Corrigin,Cardiovascular system,6.45,6.63,6.66,6.89,"1,022","6,592","6,776","6,807","7,042",184,31,235,50903124602,Brookton,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
NSW,14920,Liverpool Plains,Respiratory system,0.86,0.88,0.83,0.88,"7,660","6,588","6,741","6,358","6,741",153,383,383,10604112908,Scone Surrounds,10604,Upper Hunter,Hunter Valley exc Newcastle,Rest of NSW
WA,56450,Narrogin,Alimentary tract and metabolism,2.66,2.49,2.33,2.24,"4,956","13,183","12,340","11,547","11,101",843,793,446,50903124903,Narrogin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
VIC,25990,Pyrenees,Respiratory system,0.86,0.9,0.87,0.82,"7,651","6,580","6,886","6,656","6,274",306,230,383,20103101301,Avoca,20103,Maryborough - Pyrenees,Ballarat,Rest of Vic.
VIC,26610,Swan Hill,Genito urinary system and sex hormones,0.31,0.33,0.34,0.36,"21,225","6,580","7,004","7,217","7,641",425,212,424,21503140301,Robinvale,21503,Murray River - Swan Hill,North West,Rest of Vic.
QLD,30410,Barcaldine,Alimentary tract and metabolism,2.29,2.2,2.15,2.12,"2,865","6,561","6,303","6,160","6,074",258,143,86,31503140802,Barcaldine - Blackall,31503,Outback - South,Queensland - Outback,Rest of Qld
QLD,34860,Maranoa,Blood and blood forming organs,0.5,0.49,0.49,0.5,"13,100","6,550","6,419","6,419","6,550",131,0,131,30701117602,Roma,30701,Darling Downs (West) - Maranoa,Darling Downs - Maranoa,Rest of Qld
QLD,34860,Maranoa,Musculo-skeletal system,0.5,0.48,0.5,0.58,"13,100","6,550","6,288","6,550","7,598",262,262,"1,048",30701117602,Roma,30701,Darling Downs (West) - Maranoa,Darling Downs - Maranoa,Rest of Qld
WA,56450,Narrogin,Antiinfectives for systemic use,0.85,0.82,0.75,0.82,"4,956","4,213","4,064","3,717","4,064",149,347,347,50903124903,Narrogin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
TAS,62210,George Town,Musculo-skeletal system,0.9,0.92,0.92,0.91,"7,267","6,540","6,686","6,686","6,613",145,0,73,60203105901,George Town,60203,North East,Launceston and North East,Rest of Tas.
SA,40070,Adelaide,Sensory organs,0.25,0.24,0.24,0.24,"26,141","6,535","6,274","6,274","6,274",261,0,0,40101100101,Adelaide,40101,Adelaide City,Adelaide - Central and Hills,Greater Adelaide
SA,40520,Berri Barmera,Musculo-skeletal system,0.61,0.58,0.59,0.59,"10,713","6,535","6,214","6,321","6,321",321,107,0,40703115901,Barmera,40703,Murray and Mallee,South Australia - South East,Rest of SA
NSW,11300,Burwood,Antineoplastic and immunomodulating agents,0.16,0.14,0.13,0.12,"40,832","6,533","5,716","5,308","4,900",817,408,408,12003139301,Croydon Park - Enfield,12003,Strathfield - Burwood - Ashfield,Sydney - Inner West,Greater Sydney
NSW,11300,Burwood,"Systemic hormonal preparations, excl. sex hormones and insulins",0.16,0.17,0.15,0.13,"40,832","6,533","6,941","6,125","5,308",408,817,817,12003139301,Croydon Park - Enfield,12003,Strathfield - Burwood - Ashfield,Sydney - Inner West,Greater Sydney
WA,53150,East Fremantle,Antiinfectives for systemic use,0.81,0.82,0.7,0.66,"8,064","6,532","6,612","5,645","5,322",81,968,323,50702116401,East Fremantle,50702,Fremantle,Perth - South West,Greater Perth
SA,42030,Gawler,Antineoplastic and immunomodulating agents,0.25,0.24,0.24,0.25,"26,121","6,530","6,269","6,269","6,530",261,0,261,40201102506,Gawler - North,40201,Gawler - Two Wells,Adelaide - North,Greater Adelaide
VIC,22250,Gannawarra,Musculo-skeletal system,0.62,0.65,0.66,0.65,"10,531","6,529","6,845","6,950","6,845",316,105,105,21503140101,Gannawarra,21503,Murray River - Swan Hill,North West,Rest of Vic.
NSW,10850,Blayney,Antiinfectives for systemic use,0.86,0.84,0.8,0.81,"7,591","6,528","6,376","6,073","6,149",152,304,76,10304107601,Blayney,10304,Orange,Central West,Rest of NSW
NSW,11150,Bourke,Alimentary tract and metabolism,2.78,2.69,2.72,2.6,"2,348","6,527","6,316","6,387","6,105",211,70,282,10501109201,Bourke - Brewarrina,10501,Bourke - Cobar - Coonamble,Far West and Orana,Rest of NSW
SA,46450,Port Pirie,"Systemic hormonal preparations, excl. sex hormones and insulins",0.37,0.39,0.33,0.34,"17,621","6,520","6,872","5,815","5,991",352,"1,057",176,40503112201,Port Pirie,40503,Mid North,Barossa - Yorke - Mid North,Rest of SA
VIC,23190,Horsham,"Systemic hormonal preparations, excl. sex hormones and insulins",0.32,0.33,0.27,0.25,"20,337","6,508","6,711","5,491","5,084",203,"1,220",407,21501138801,Horsham,21501,Grampians,North West,Rest of Vic.
NSW,14600,Lachlan,Antiinfectives for systemic use,1.06,1.18,1.09,1.16,"6,139","6,507","7,244","6,692","7,121",737,553,430,10302106201,Condobolin,10302,Lachlan Valley,Central West,Rest of NSW
WA,56450,Narrogin,Musculo-skeletal system,0.77,0.79,0.79,0.76,"4,956","3,816","3,915","3,915","3,767",99,0,149,50903124903,Narrogin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
NSW,13660,Gwydir,Antiinfectives for systemic use,1.32,1.14,0.88,0.87,"4,924","6,500","5,613","4,333","4,284",886,"1,280",49,11002119209,Inverell Surrounds - East,11002,Inverell - Tenterfield,New England and North West,Rest of NSW
WA,56230,Murray,Antineoplastic and immunomodulating agents,0.34,0.33,0.33,0.31,"19,110","6,497","6,306","6,306","5,924",191,0,382,50201102601,Mandurah - East,50201,Mandurah,Mandurah,Greater Perth
VIC,22980,Hindmarsh,Antiinfectives for systemic use,1.16,1.24,0.89,0.92,"5,599","6,495","6,943","4,983","5,151",448,"1,960",168,21501139001,Nhill Region,21501,Grampians,North West,Rest of Vic.
NSW,13450,Griffith,Antineoplastic and immunomodulating agents,0.24,0.24,0.24,0.23,"27,014","6,483","6,483","6,483","6,213",0,0,270,11301125601,Griffith (NSW),11301,Griffith - Murrumbidgee (West),Riverina,Rest of NSW
WA,50350,Bassendean,Sensory organs,0.39,0.4,0.37,0.38,"16,600","6,474","6,640","6,142","6,308",166,498,166,50401104401,Bassendean - Eden Hill - Ashfield,50401,Bayswater - Bassendean,Perth - North East,Greater Perth
WA,57980,Subiaco,Sensory organs,0.36,0.35,0.35,0.33,"17,976","6,471","6,292","6,292","5,932",180,0,360,50301103504,Nedlands - Dalkeith - Crawley,50301,Cottesloe - Claremont,Perth - Inner,Greater Perth
WA,56450,Narrogin,Respiratory system,0.63,0.62,0.62,0.56,"4,956","3,122","3,073","3,073","2,775",50,0,297,50903124903,Narrogin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
WA,56450,Narrogin,Blood and blood forming organs,0.62,0.62,0.59,0.58,"4,956","3,073","3,073","2,924","2,874",0,149,50,50903124903,Narrogin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
TAS,61610,Devonport,Dermatologicals,0.24,0.24,0.24,0.25,"26,937","6,465","6,465","6,465","6,734",0,0,269,60402108501,Devonport,60402,Devonport,West and North West,Rest of Tas.
WA,53710,Goomalling,Cardiovascular system,6.57,6.86,6.73,6.4,984,"6,465","6,750","6,622","6,298",285,128,325,50902123803,Dowerin,50902,Wheat Belt - North,Western Australia - Wheat Belt,Rest of WA
VIC,26170,South Gippsland,Dermatologicals,0.21,0.22,0.2,0.22,"30,697","6,446","6,753","6,139","6,753",307,614,614,20503108701,Foster,20503,Gippsland - South West,Latrobe - Gippsland,Rest of Vic.
VIC,25620,Murrindindi,Sensory organs,0.42,0.45,0.41,0.38,"15,348","6,446","6,907","6,293","5,832",460,614,460,20401105401,Alexandra,20401,Upper Goulburn Valley,Hume,Rest of Vic.
WA,50280,Augusta Margaret Riv,Genito urinary system and sex hormones,0.36,0.36,0.35,0.34,"17,901","6,444","6,444","6,265","6,086",0,179,179,50101100101,Augusta,50101,Augusta - Margaret River - Busselton,Bunbury,Rest of WA
NSW,12900,Forbes,Musculo-skeletal system,0.69,0.71,0.72,0.71,"9,339","6,444","6,631","6,724","6,631",187,93,93,10302106216,Condobolin,10302,Lachlan Valley,Central West,Rest of NSW
NSW,14920,Liverpool Plains,Antiinfectives for systemic use,0.84,0.83,0.72,0.77,"7,660","6,434","6,358","5,515","5,898",77,843,383,10604112908,Scone Surrounds,10604,Upper Hunter,Hunter Valley exc Newcastle,Rest of NSW
WA,56450,Narrogin,Genito urinary system and sex hormones,0.42,0.41,0.42,0.42,"4,956","2,082","2,032","2,082","2,082",50,50,0,50903124903,Narrogin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
WA,56450,Narrogin,Sensory organs,0.37,0.38,0.34,0.32,"4,956","1,834","1,883","1,685","1,586",50,198,99,50903124903,Narrogin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
VIC,22410,Glenelg,"Systemic hormonal preparations, excl. sex hormones and insulins",0.32,0.34,0.35,0.31,"20,041","6,413","6,814","7,014","6,213",401,200,802,21701142001,Glenelg (Vic.),21701,Glenelg - Southern Grampians,Warrnambool and South West,Rest of Vic.
TAS,64210,Meander Valley,Antineoplastic and immunomodulating agents,0.3,0.29,0.28,0.25,"21,356","6,407","6,193","5,980","5,339",214,214,641,60201104401,Prospect Vale - Blackstone,60201,Launceston,Launceston and North East,Rest of Tas.
WA,56450,Narrogin,Antineoplastic and immunomodulating agents,0.27,0.25,0.27,0.24,"4,956","1,338","1,239","1,338","1,189",99,99,149,50903124903,Narrogin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
NSW,14300,Junee,Respiratory system,0.99,1.1,0.94,0.92,"6,465","6,400","7,112","6,077","5,948",711,"1,034",129,11303126501,Junee,11303,Wagga Wagga,Riverina,Rest of NSW
NSW,17900,Walgett,Respiratory system,1.16,1.2,1.14,1.12,"5,516","6,399","6,619","6,288","6,178",221,331,110,10501109601,Walgett - Lightning Ridge,10501,Bourke - Cobar - Coonamble,Far West and Orana,Rest of NSW
WA,56450,Narrogin,"Systemic hormonal preparations, excl. sex hormones and insulins",0.24,0.25,0.24,0.24,"4,956","1,189","1,239","1,189","1,189",50,50,0,50903124903,Narrogin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
WA,52450,Cunderdin,Cardiovascular system,4.76,4.89,4.8,4.57,"1,344","6,397","6,572","6,451","6,142",175,121,309,50902123708,Cunderdin,50902,Wheat Belt - North,Western Australia - Wheat Belt,Rest of WA
NT,72200,Katherine,Nervous system,0.59,0.51,0.49,0.64,"10,836","6,393","5,526","5,310","6,935",867,217,"1,625",70205106701,Katherine,70205,Katherine,Northern Territory - Outback,Rest of NT
NSW,18020,Warrumbungle,Musculo-skeletal system,0.69,0.71,0.73,0.73,"9,246","6,380","6,565","6,750","6,750",185,185,0,10303107404,Mudgee Surrounds - West,10303,Lithgow - Mudgee,Central West,Rest of NSW
VIC,27630,Yarriambiack,Respiratory system,0.99,1.03,0.96,0.88,"6,435","6,371","6,628","6,178","5,663",257,450,515,21501139401,Yarriambiack,21501,Grampians,North West,Rest of Vic.
SA,48050,Victor Harbor,"Systemic hormonal preparations, excl. sex hormones and insulins",0.38,0.37,0.36,0.35,"16,726","6,356","6,189","6,021","5,854",167,167,167,40701114802,Victor Harbor,40701,Fleurieu - Kangaroo Island,South Australia - South East,Rest of SA
NSW,12350,Cowra,Genito urinary system and sex hormones,0.5,0.48,0.47,0.45,"12,705","6,353","6,098","5,971","5,717",254,127,254,10302106301,Cowra,10302,Lachlan Valley,Central West,Rest of NSW
NT,70700,Coomalie,Cardiovascular system,4.55,4.75,4.49,4.23,"1,396","6,352","6,631","6,268","5,905",279,363,363,70203105704,Alligator,70203,Daly - Tiwi - West Arnhem,Northern Territory - Outback,Rest of NT
WA,58610,Wagin,Nervous system,3.51,3.45,3.61,3.51,"1,809","6,350","6,241","6,530","6,350",109,289,181,50903125003,Wagin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
TAS,63010,Huon Valley,Antineoplastic and immunomodulating agents,0.33,0.29,0.25,0.25,"19,214","6,341","5,572","4,804","4,804",769,769,0,60302106908,Bruny Island - Kettering,60302,Huon - Bruny Island,South East,Rest of Tas.
WA,56450,Narrogin,Dermatologicals,0.2,0.19,0.19,0.21,"4,956",991,942,942,"1,041",50,0,99,50903124903,Narrogin,50903,Wheat Belt - South,Western Australia - Wheat Belt,Rest of WA
NSW,11250,Broken Hill,Genito urinary system and sex hormones,0.36,0.37,0.37,0.42,"17,569","6,325","6,501","6,501","7,379",176,0,878,10502109701,Broken Hill,10502,Broken Hill and Far West,Far West and Orana,Rest of NSW
TAS,61810,Dorset,Respiratory system,0.9,0.97,0.95,0.94,"7,022","6,320","6,811","6,671","6,601",492,140,70,60203105807,Dilston - Lilydale,60203,North East,Launceston and North East,Rest of Tas.
SA,43080,Karoonda East Murray,Cardiovascular system,6.15,6.01,6.08,6.16,"1,027","6,316","6,172","6,244","6,326",144,72,82,40703116103,Karoonda - Lameroo,40703,Murray and Mallee,South Australia - South East,Rest of SA
WA,56230,Murray,"Systemic hormonal preparations, excl. sex hormones and insulins",0.33,0.32,0.29,0.28,"19,110","6,306","6,115","5,542","5,351",191,573,191,50201102601,Mandurah - East,50201,Mandurah,Mandurah,Greater Perth
NSW,15300,Moree Plains,Musculo-skeletal system,0.49,0.49,0.49,0.52,"12,869","6,306","6,306","6,306","6,692",0,0,386,11003119501,Moree,11003,Moree - Narrabri,New England and North West,Rest of NSW
VIC,21270,Buloke,Antiinfectives for systemic use,1.03,1.07,0.89,0.82,"6,118","6,302","6,546","5,445","5,017",245,"1,101",428,21503140001,Buloke,21503,Murray River - Swan Hill,North West,Rest of Vic.
QLD,32270,Central Highlands (Q,"Systemic hormonal preparations, excl. sex hormones and insulins",0.22,0.22,0.2,0.22,"28,530","6,277","6,277","5,706","6,277",0,571,571,30801119001,Central Highlands - East,30801,Central Highlands (Qld),Central Queensland,Rest of Qld
SA,40070,Adelaide,Antineoplastic and immunomodulating agents,0.24,0.24,0.23,0.2,"26,141","6,274","6,274","6,012","5,228",0,261,784,40101100101,Adelaide,40101,Adelaide City,Adelaide - Central and Hills,Greater Adelaide
VIC,23350,Indigo,Antineoplastic and immunomodulating agents,0.36,0.34,0.32,0.27,"17,418","6,270","5,922","5,574","4,703",348,348,871,20402106501,Rutherglen,20402,Wangaratta - Benalla,Hume,Rest of Vic.
